Conflict,Start Year,End Year,Countries Involved,Reason,Result
Napoleonic Wars,1803,1815,"France, United Kingdom, Prussia, Russia, Austria, Spain",Napoleon's expansionist ambitions in Europe,"Defeat of France, Exile of Napoleon"
American Civil War,1861,1865,United States (Union) vs. Confederate States,"Slavery, states' rights, and secession","Union victory, Abolition of slavery"
World War I,1914,1918,"Allied Powers (France, UK, Russia, USA) vs. Central Powers (Germany, Austria-Hungary, Ottoman Empire)","Nationalism, imperialism, military alliances, assassination of Archduke Ferdinand","Allied victory, Collapse of empires (Austro-Hungarian, Ottoman, Russian, German)"
World War II,1939,1945,"Allied Powers (USA, UK, USSR, France, China) vs. Axis Powers (Germany, Japan, Italy)","Nazi aggression, imperialism by Axis Powers","Allied victory, Axis defeat, Creation of the United Nations"
Korean War,1950,1953,"North Korea, China vs. South Korea, USA, United Nations",Ideological division of Korea (Communism vs. Capitalism),"Stalemate, Korean Peninsula divided"
Vietnam War,1955,1975,"North Vietnam, Soviet Union, China vs. South Vietnam, USA, South Korea","Cold War, Spread of communism in Southeast Asia","North Vietnamese victory, Unification under communism"
Afghanistan War,1979,1989,"Soviet Union vs. Afghanistan (Mujahideen), USA, Pakistan, Saudi Arabia","Soviet invasion to support communist government, US-led resistance to spread communism","Soviet withdrawal, Afghan victory"
Gulf War,1990,1991,"Iraq vs. USA, UK, Saudi Arabia, Kuwait, other coalition forces",Iraq's invasion of Kuwait,"Coalition victory, Liberation of Kuwait"
Bosnian War,1992,1995,"Bosnia and Herzegovina vs. Serbia, Croatia, Yugoslavia",Ethnic and nationalistic tensions following the breakup of Yugoslavia,"Bosnian victory, Dayton Agreement, War crimes trials"
Iraq War,2003,2011,"USA, UK vs. Iraq","Alleged weapons of mass destruction, Regime change, Terrorism","USA victory, Overthrow of Saddam Hussein, Ongoing instability"
Syrian Civil War,2011,Ongoing,"Syria, Russia, Iran vs. Syrian opposition, USA, Turkey, Kurdish forces","Pro-democracy protests, Ethnic and sectarian divisions, External intervention","Ongoing, Fragmented control"
Yemen Civil War,2014,Ongoing,"Houthi rebels, Iran vs. Saudi-led coalition (Yemen, UAE, USA)","Political, sectarian, and regional tensions","Ongoing, Humanitarian crisis"
Russia-Ukraine War,2022,Ongoing,"Russia vs. Ukraine, NATO","Russian invasion of Ukraine, Territorial disputes, NATO expansion","Ongoing, Significant casualties, Economic sanctions"
